FIPS,LCSPP21
26131,465.14
26133,293.4
26135,339.41
26137,339.41
26139,293.4
26141,339.41
26143,339.41
26145,330.48
26147,337.87
26149,385.01
26151,340.91
26153,465.14
26155,305.7
26157,340.91
26159,348.43
26161,262.4
26163,277.45
26165,319.66
27001,292.41
27003,238.19
27005,287.45
27007,292.41
27009,265.98
27011,307.97
27013,337.73
27015,333.89
27017,305.9
27019,238.19
27021,291.69
27023,307.97
27025,261.86
27027,287.45
27029,299.05
27031,329.88
27033,333.89
27035,291.69
27037,238.19
27039,421.6
27041,295.02
27043,395.98
27045,366.51
27047,421.6
27049,396.3
27051,295.02
27053,238.19
27055,366.51
27057,291.69
27059,261.86
27061,305.9
27063,333.89
27065,292.41
27067,307.97
27069,299.02
27071,329.88
27073,307.97
27075,329.88
27077,329.88
27079,337.73
27081,333.89
27083,307.97
27085,307.97
27087,282.64
27089,299.02
27091,337.73
27093,307.97
27095,292.41
27097,292.41
27099,421.6
27101,391.93
27103,337.73
27105,333.89
27107,282.64
27109,366.51
27111,295.02
27113,299.02
27115,291.69
27117,333.89
27119,299.02
27121,295.02
27123,238.19
27125,299.02
27127,333.89
27129,307.97
27131,337.73
27133,333.89
27135,292.41
27137,305.9
27139,238.19
27141,238.19
27143,307.97
27145,265.98
27147,421.6
27149,295.02
27151,307.97
27153,292.41
27155,295.02
27157,366.51
27159,292.41
27161,395.98
27163,238.19
27165,395.98
27167,287.45
27169,366.51
27171,246.58
27173,307.97
28001,390.3
28003,390.3
28005,390.3
28007,390.3
28009,385.98
28011,390.3
28013,390.3
28015,390.3
28017,390.3
28019,390.3
28021,390.3
28023,390.3
28025,390.3
28027,390.3
28029,387.51
28031,390.3
28033,430.36
28035,393.75
28037,390.3
28039,397.28
28041,393.75
28043,390.3
28045,397.28
28047,397.28
28049,387.51
28051,390.3
28053,390.3
28055,390.3
28057,385.98
28059,397.28
28061,390.3
28063,390.3
28065,390.3
28067,393.75
28069,390.3
28071,390.3
28073,393.75
28075,390.3
28077,390.3
28079,390.3
28081,385.98
28083,390.3
28085,390.3
28087,390.3
28089,387.51
28091,390.3
28093,430.36
28095,390.3
28097,390.3
28099,390.3
