State Key,Value,,,,,,State,State FIPS
DC28,0.744,,,,,,,
DC27,0.727,,,,,,,
DC26,0.727,,,,,,,
DC25,0.727,,,,,,,
DC24,0.727,,,,,,,
DC23,0.727,,,,,,,
DC22,0.727,,,,,,,
DC21,0.727,,,,,,,
DC20,0.654,,,,,,,
DC2,0.654,,,,,,,
DC19,0.654,,,,,,,
DC18,0.654,,,,,,,
DC17,0.654,,,,,,,
DC16,0.654,,,,,,,
DC15,0.654,,,,,,,
DC14,0.654,,,,,,,
DC13,0.654,,,,,,,
DC12,0.654,,,,,,,
DC11,0.654,,,,,,,
DC100,2.181,,,,,,,
DC10,0.654,,,,,,,
DC1,0.654,,,,,,,
DC0,0.654,,,,,,,
AL99,3,,,,,,,
AL98,3,,,,,,,
AL97,3,,,,,,,
AL96,3,,,,,,,
AL95,3,,,,,,,
AL94,3,,,,,,,
AL93,3,,,,,,,
AL92,3,,,,,,,
AL91,3,,,,,,,
AL90,3,,,,,,,
AL9,0.635,,,,,,,
AL89,3,,,,,,,
AL88,3,,,,,,,
AL87,3,,,,,,,
AL86,3,,,,,,,
AL85,3,,,,,,,
AL84,3,,,,,,,
AL83,3,,,,,,,
AL82,3,,,,,,,
AL81,3,,,,,,,
AL80,3,,,,,,,
AL8,0.635,,,,,,,
AL79,3,,,,,,,
AL78,3,,,,,,,
AL77,3,,,,,,,
AL76,3,,,,,,,
AL75,3,,,,,,,
AL74,3,,,,,,,
AL73,3,,,,,,,
AL72,3,,,,,,,
AL71,3,,,,,,,
AL70,3,,,,,,,
AL7,0.635,,,,,,,
AL69,3,,,,,,,
AL68,3,,,,,,,
AL67,3,,,,,,,
AL66,3,,,,,,,
AL65,3,,,,,,,
AL64,3,,,,,,,
AL63,2.952,,,,,,,
AL62,2.873,,,,,,,
AL61,2.81,,,,,,,
AL60,2.714,,,,,,,
AL6,0.635,,,,,,,
AL59,2.603,,,,,,,
AL58,2.548,,,,,,,
AL57,2.437,,,,,,,
AL56,2.333,,,,,,,
AL55,2.23,,,,,,,
AL54,2.135,,,,,,,
AL53,2.04,,,,,,,
AL52,1.952,,,,,,,
AL51,1.865,,,,,,,
AL50,1.786,,,,,,,
AL5,0.635,,,,,,,
AL49,1.706,,,,,,,
AL48,1.635,,,,,,,
AL47,1.563,,,,,,,
AL46,1.5,,,,,,,
AL45,1.444,,,,,,,
AL44,1.397,,,,,,,
AL43,1.357,,,,,,,
AL42,1.325,,,,,,,
AL41,1.302,,,,,,,
AL40,1.278,,,,,,,
AL4,0.635,,,,,,,
AL39,1.262,,,,,,,
AL38,1.246,,,,,,,
AL37,1.238,,,,,,,
AL36,1.23,,,,,,,
AL35,1.222,,,,,,,
AL34,1.214,,,,,,,
AL33,1.198,,,,,,,
AL32,1.183,,,,,,,
AL31,1.159,,,,,,,
AL30,1.135,,,,,,,
AL3,0.635,,,,,,,
AL29,1.119,,,,,,,
AL28,1.087,,,,,,,
AL27,1.048,,,,,,,
AL26,1.024,,,,,,,
AL25,1.004,,,,,,,
AL24,1,,,,,,,
AL23,1,,,,,,,
AL22,1,,,,,,,
AL21,1,,,,,,,
AL20,0.635,,,,,,,
AL2,0.635,,,,,,,
AL19,0.635,,,,,,,
AL18,0.635,,,,,,,
AL17,0.635,,,,,,,
AL16,0.635,,,,,,,
AL15,0.635,,,,,,,
AL14,0.635,,,,,,,
AL13,0.635,,,,,,,
AL12,0.635,,,,,,,
AL11,0.635,,,,,,,
AL100,3,,,,,,,
AL10,0.635,,,,,,,
AL1,0.635,,,,,,,
AL0,0.635,,,,,,,
